,publishedMonth,TotalViewCount,TotalVideos
0,2021-09-01,9957956,-11
1,2021-08-01,2474255,-8
2,2021-07-01,2112664,-5
3,2021-06-01,6860270,-47
4,2021-05-01,16885582,-12
5,2021-04-01,1160063,-3
6,2021-03-01,326721,-1
7,2021-02-01,10641590,-6
8,2021-01-01,26582856,-21
9,2020-12-01,1936423,-2
10,2020-11-01,2887980,-1
11,2020-09-01,384658,-1
12,2020-08-01,1108078,-2
13,2020-07-01,2437168,-1
14,2020-05-01,7857985,-1
15,2020-03-01,50263336,-12
16,2020-01-01,343637,-1
17,2019-09-01,2938196,-5
18,2019-08-01,18468693,-3
19,2019-06-01,2950396,-6
20,2019-05-01,36111398,-19
21,2019-04-01,397643,-1
22,2018-11-01,14167170,-27
23,2018-10-01,38809446,-1
24,2018-08-01,4826271,-5
25,2018-07-01,22297717,-2
26,2018-06-01,2000981,-4
27,2018-04-01,59797994,-18
28,2018-03-01,2149466,-4
29,2018-02-01,6705888,-3
30,2018-01-01,404842,-1
31,2017-12-01,616138,-3
32,2017-10-01,4964531,-4
33,2017-09-01,25392881,-1
34,2017-08-01,4668440,-7
35,2017-07-01,15010680,-1
36,2017-06-01,956068,-1
37,2017-03-01,100359936,-54
38,2017-02-01,6754079,-1
39,2016-11-01,6483990,-8
40,2016-10-01,25163601,-1
41,2016-08-01,1318160,-9
42,2016-07-01,62140142,-23
43,2016-06-01,1828687,-1
44,2016-05-01,454045,-2
45,2016-04-01,103188,-1
46,2016-03-01,12742844,-42
47,2016-02-01,311240,-1
48,2015-12-01,85377475,-45
49,2015-11-01,13314872,-16
50,2015-10-01,14893918,-50
51,2015-09-01,240298,-1
52,2015-07-01,5299866,-21
53,2015-03-01,3323548,-19
54,2015-01-01,372218,-2
55,2014-12-01,257426,-12
56,2014-10-01,596276,-2
57,2014-09-01,3688703,-35
58,2014-07-01,392458,-1
59,2014-06-01,2277970,-33
60,2014-05-01,311903,-1
61,2014-04-01,8053417,-1
62,2014-03-01,388234,-2
63,2014-02-01,1700287,-6
64,2013-11-01,1548780,-30
65,2013-07-01,676183,-4
66,2013-06-01,2716388,-30
67,2013-02-01,3903050,-34
68,2012-12-01,3803588,-33
69,2012-08-01,730028,-33
70,2012-05-01,493850,-18
71,2012-04-01,1838897,-31
72,2012-01-01,951706,-33
73,2021-10-01,449463,-2
