,publishedMonth,TotalViewCount,TotalVideos
0,2021-09-01,9473217,11
1,2021-08-01,2454231,8
2,2021-07-01,2077861,5
3,2021-06-01,6821966,47
4,2021-05-01,16703036,12
5,2021-04-01,1152435,3
6,2021-03-01,326069,1
7,2021-02-01,10562171,6
8,2021-01-01,26396323,21
9,2020-12-01,1931397,2
10,2020-11-01,2882264,1
11,2020-09-01,384556,1
12,2020-08-01,1107252,2
13,2020-07-01,2434655,1
14,2020-05-01,7841318,1
15,2020-03-01,50114240,12
16,2020-01-01,343444,1
17,2019-09-01,2933677,5
18,2019-08-01,18418042,3
19,2019-06-01,2947684,6
20,2019-05-01,36027154,19
21,2019-04-01,397561,1
22,2018-11-01,14158083,27
23,2018-10-01,38714445,1
24,2018-08-01,4822012,5
25,2018-07-01,22253618,2
26,2018-06-01,1999246,4
27,2018-04-01,59683554,18
28,2018-03-01,2148549,4
29,2018-02-01,6696128,3
30,2018-01-01,404714,1
31,2017-12-01,616019,3
32,2017-10-01,4961147,4
33,2017-09-01,25356559,1
34,2017-08-01,4665584,7
35,2017-07-01,15001878,1
36,2017-06-01,955700,1
37,2017-03-01,100220680,54
38,2017-02-01,6742883,1
39,2016-11-01,6479774,8
40,2016-10-01,25139545,1
41,2016-08-01,1317877,9
42,2016-07-01,62074678,23
43,2016-06-01,1827748,1
44,2016-05-01,453989,2
45,2016-04-01,103124,1
46,2016-03-01,12735721,42
47,2016-02-01,311151,1
48,2015-12-01,85301087,45
49,2015-11-01,13299855,16
50,2015-10-01,14888523,50
51,2015-09-01,240248,1
52,2015-07-01,5298664,21
53,2015-03-01,3322706,19
54,2015-01-01,372158,2
55,2014-12-01,257369,12
56,2014-10-01,595980,2
57,2014-09-01,3688095,35
58,2014-07-01,392421,1
59,2014-06-01,2277688,33
60,2014-05-01,311727,1
61,2014-04-01,8041843,1
62,2014-03-01,388132,2
63,2014-02-01,1699148,6
64,2013-11-01,1548401,30
65,2013-07-01,675779,4
66,2013-06-01,2715801,30
67,2013-02-01,3900442,34
68,2012-12-01,3801530,33
69,2012-08-01,729676,33
70,2012-05-01,493419,18
71,2012-04-01,1838467,31
72,2012-01-01,951234,33
