,publishedMonth,TotalViewCount,TotalVideos
0,2021-10-01,382039,-2
1,2021-09-01,6435854,-4
2,2021-04-01,505746,-2
3,2021-03-01,13456012,-7
4,2021-02-01,977549,-1
5,2021-01-01,1518499,-2
6,2020-12-01,5785755,-16
7,2020-11-01,19069077,-4
8,2020-08-01,6655801,-2
9,2020-07-01,642964,-1
10,2020-01-01,2543069,-2
11,2019-09-01,8498034,-1
12,2019-08-01,533756,-1
13,2019-07-01,1073605,-1
14,2019-02-01,33067733,-11
15,2018-10-01,535133,-1
16,2018-09-01,2025732,-1
17,2018-08-01,12757215,-23
18,2018-07-01,39524102,-1
19,2018-06-01,5627553,-8
20,2018-05-01,10070310,-1
21,2018-03-01,15493648,-27
22,2018-02-01,51608595,-1
23,2017-10-01,49804010,-8
24,2017-07-01,41742173,-2
25,2017-06-01,1097464,-2
26,2017-04-01,12865348,-29
27,2017-03-01,99315633,-2
28,2016-11-01,78917838,-26
29,2016-08-01,13041578,-23
30,2016-07-01,57671553,-2
31,2016-04-01,6498675,-15
32,2016-03-01,171635528,-10
